City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,callao,-12.0667,-77.15,20.81,89,87,3.23,PE,1713792106
1,qamdo,31.1667,97.2333,6.87,39,54,2.2,CN,1713792107
2,edinburgh of the seven seas,-37.0676,-12.3116,16.75,83,25,7.59,SH,1713792108
3,tazovsky,67.4667,78.7,-10.12,93,100,4.67,RU,1713792109
4,st. john's,47.5649,-52.7093,5.52,77,100,3.15,CA,1713792110
5,waitangi,-43.9535,-176.5597,11.32,61,80,13.78,NZ,1713792111
6,rongelap,11.1635,166.8941,27.86,75,100,6.5,MH,1713792111
7,kulhudhuffushi,6.6221,73.07,30.2,75,69,4.41,MV,1713792112
8,west island,-12.1568,96.8225,27.27,83,48,10.01,CC,1713792113
9,karatas,36.582,35.3701,19.96,64,5,4.22,TR,1713792114
10,motygino,58.1831,94.7592,0.7,99,100,2.6,RU,1713792115
11,grytviken,-54.2811,-36.5092,0.3,80,80,15.08,GS,1713792116
12,thompson,55.7435,-97.8558,0.16,95,100,1.44,CA,1713792118
13,puerto colombia,10.9878,-74.9547,27.68,75,96,2.89,CO,1713792119
14,fort st. john,56.2499,-120.8529,2.28,94,38,2.3,CA,1713792119
15,kalibo (poblacion),11.7061,122.3644,27.35,86,38,2.46,PH,1713792120
16,blackmans bay,-43.0167,147.3167,11.5,84,100,1.98,AU,1713792121
17,visakhapatnam,17.69,83.2093,30.06,66,4,4.55,IN,1713792122
18,albany,42.6001,-73.9662,3.75,47,10,3.05,US,1713792123
19,longyearbyen,78.2186,15.6401,1.92,87,27,2.84,SJ,1713792125
20,newman,37.3138,-121.0208,15.62,71,29,1.59,US,1713792126
21,enewetak,11.3474,162.3373,27.79,78,77,7.54,MH,1713792127
22,praia da vitoria,38.7333,-27.0667,14.63,93,100,2.54,PT,1713792127
23,axum,14.1245,38.7244,27.89,18,74,2.17,ET,1713792128
24,tecax,20.2,-89.2833,23.86,84,36,0.89,MX,1713792129
25,nemuro,43.3236,145.575,2.51,93,100,5.54,JP,1713792130
26,faya-largeau,17.9257,19.1043,44.12,5,0,4.86,TD,1713792131
27,badger,64.8,-147.5333,1.46,97,100,0.66,US,1713792132
28,bethel,41.3712,-73.414,6.69,51,3,3.81,US,1713792133
29,port lincoln,-34.7333,135.8667,17.2,60,91,2.27,AU,1713791585
30,waingapu,-9.6567,120.2641,26.03,81,100,3.56,ID,1713792135
31,adamstown,-25.066,-130.1015,22.33,75,98,11.95,PN,1713792135
32,poronaysk,49.2167,143.1167,1.72,87,100,2.9,RU,1713792136
33,kodiak,57.79,-152.4072,2.83,89,100,1.92,US,1713792137
34,nuku'alofa,-21.1333,-175.2,26.14,78,99,8.3,TO,1713791657
35,codrington,-38.2667,141.9667,11.51,47,100,3.75,AU,1713792139
36,ketchikan,55.3422,-131.6461,4.62,90,31,1.87,US,1713792054
37,iqaluit,63.7506,-68.5145,-15.09,89,20,2.79,CA,1713792141
38,margaret river,-33.95,115.0667,14.88,52,51,5.21,AU,1713791899
39,progreso,21.2833,-89.6667,24.12,81,0,2.86,MX,1713792142
40,kingston,17.997,-76.7936,27.08,63,10,1.06,JM,1713791607
41,acapulco de juarez,16.8634,-99.8901,22.95,55,73,1.02,MX,1713792002
42,ushuaia,-54.8,-68.3,2.16,96,100,2.84,AR,1713792145
43,mahriz,31.5917,54.4318,20.26,43,88,5.03,IR,1713792146
44,bassila,9.0081,1.6654,33.43,46,96,2.36,BJ,1713792147
45,qaqortoq,60.7167,-46.0333,1.45,91,100,2.54,GL,1713792147
46,napier,-39.4833,176.9167,10.73,83,100,3.77,NZ,1713792148
47,new norfolk,-42.7826,147.0587,9.8,98,100,1.52,AU,1713792149
48,cooma,-36.2333,149.1333,8.08,69,0,1.07,AU,1713792150
49,rio grande,-32.035,-52.0986,20.42,90,100,2.65,BR,1713792151
50,yellowknife,62.456,-114.3525,-1.53,88,76,3.69,CA,1713792152
51,salahonda,2.1019,-78.7217,24.82,90,100,3.44,CO,1713792153
52,ust-nera,64.5667,143.2,-8.94,99,93,1.44,RU,1713792154
53,champerico,14.3,-91.9167,27.85,80,7,0.65,GT,1713792155
54,hithadhoo,-0.6,73.0833,28.69,75,100,1.32,MV,1713792155
55,san juan de miraflores,-12.1629,-76.9635,20.64,87,86,2.59,PE,1713792156
56,hamilton,39.1834,-84.5333,7.27,48,0,0.92,US,1713792157
57,sitka,57.0531,-135.33,5.59,87,100,1.86,US,1713792158
58,kita,13.0349,-9.4895,39.53,12,100,2.63,ML,1713792159
59,nar'yan-mar,67.6713,53.087,-6.7,91,77,2.54,RU,1713792160
60,port-aux-francais,-49.35,70.2167,5.35,82,23,11.35,TF,1713792161
61,san patricio,28.017,-97.5169,14.78,70,100,3.57,US,1713792162
62,ushirombo,-3.4919,31.9639,24.39,80,100,2.13,TZ,1713792163
63,atafu village,-8.5421,-172.5159,29.36,73,6,2.27,TK,1713792163
64,chonchi,-42.6128,-73.8092,7.45,94,100,0.63,CL,1713791639
65,labrador city,52.9463,-66.9114,-12.58,87,100,6.77,CA,1713792165
66,dudinka,69.4058,86.1778,-17.73,96,67,2.8,RU,1713792166
67,salalah,17.0151,54.0924,29.18,66,5,4.38,OM,1713791621
68,altamira,-3.2033,-52.2064,23.08,100,100,1.01,BR,1713792168
69,rocha,-34.4833,-54.3333,15.88,96,100,6.12,UY,1713792169
70,puerto natales,-51.7236,-72.4875,2.07,88,33,2.26,CL,1713792169
71,mossel bay,-34.1831,22.146,19.32,73,0,3.96,ZA,1713792170
72,mogadishu,2.0371,45.3438,29.72,66,69,4.85,SO,1713792171
73,crane,31.3974,-102.3501,10.57,67,75,4.35,US,1713792172
74,rockdale,33.6501,-84.0166,10.35,59,58,2.72,US,1713792173
75,hermanus,-34.4187,19.2345,20.15,70,70,3.52,ZA,1713792174
76,ribeira grande,38.5167,-28.7,14.75,80,100,6.78,PT,1713792175
77,caleta de carquin,-11.0925,-77.6267,21.15,85,48,2.57,PE,1713792177
78,el golaa,33.4849,9.0068,23.23,27,0,9.54,TN,1713792177
79,knyaze-volkonskoye,48.4642,135.4567,7.06,68,99,3.0,RU,1713792178
80,lucapa,-8.4192,20.7447,29.8,49,88,2.15,AO,1713791681
81,olonkinbyen,70.9221,-8.7187,-3.19,73,2,7.59,SJ,1713792180
82,chernyshevskiy,63.0128,112.4714,-0.38,100,100,0.82,RU,1713792181
83,udachny,66.4167,112.4,-0.35,99,100,1.18,RU,1713792182
84,cannonvale,-20.2833,148.7,23.39,84,99,9.45,AU,1713792183
85,bilkha,21.4333,70.6,33.82,24,0,8.17,IN,1713792184
86,kankan,10.3854,-9.3057,36.81,31,89,0.96,GN,1713792184
87,kayyerkan,69.3786,87.7439,-16.56,97,59,2.43,RU,1713792185
88,colonia,50.9333,6.95,10.24,35,100,4.17,DE,1713792186
89,suez,29.9737,32.5263,33.19,10,29,4.66,EG,1713792187
90,avarua,-21.2078,-159.775,25.78,74,37,7.07,CK,1713792188
91,puerto ayora,-0.7393,-90.3518,24.62,90,95,3.37,EC,1713792189
92,rundu,-17.9333,19.7667,32.98,13,0,3.91,NA,1713792190
93,prince albert,53.2001,-105.7677,4.16,87,100,2.31,CA,1713792191
94,ouesso,1.6136,16.0517,32.96,52,88,1.12,CG,1713792191
95,kiama,-34.6833,150.8667,16.37,81,0,3.57,AU,1713792192
96,itamaraju,-17.0392,-39.5311,27.6,69,54,2.56,BR,1713792193
97,siwa oasis,29.2041,25.5195,36.37,5,100,7.62,EG,1713792194
98,novopskov,49.5464,39.0899,18.53,29,42,4.93,UA,1713792195
99,cepu,-7.1475,111.5906,25.98,88,100,1.96,ID,1713792196
100,pangody,65.85,74.4859,-10.26,92,100,7.49,RU,1713792197
101,petropavlovsk-kamchatsky,53.0452,158.6483,0.65,81,7,2.22,RU,1713792150
102,revda,56.801,59.9303,17.96,49,73,3.13,RU,1713792198
103,happy valley-goose bay,53.3168,-60.3315,5.23,59,100,3.24,CA,1713791909
104,college,64.8569,-147.8028,1.39,96,100,0.59,US,1713791909
105,haiku-pauwela,20.9219,-156.3051,21.05,78,69,6.54,US,1713792201
106,hawaiian paradise park,19.5933,-154.9731,21.21,84,99,4.25,US,1713792202
107,aasiaat,68.7098,-52.8699,0.59,91,100,3.46,GL,1713792203
108,ca mau,9.1769,105.15,28.92,66,100,2.08,VN,1713792205
109,alice springs,-23.7,133.8833,18.65,50,34,2.61,AU,1713792158
110,belyy yar,53.6039,91.3903,6.43,65,94,5.48,RU,1713792207
111,chegdomyn,51.1167,133.0167,7.09,69,100,1.46,RU,1713791755
112,kloulklubed,7.0419,134.2556,28.92,82,100,7.68,PW,1713792209
113,ilhabela,-23.7781,-45.3581,25.62,61,0,1.3,BR,1713791654
114,musaffah,24.3458,54.5024,31.15,43,7,4.29,AE,1713792210
115,namibe,-15.1961,12.1522,28.19,62,79,5.41,AO,1713792211
116,aswan,24.0934,32.907,38.41,6,0,6.07,EG,1713792212
117,tura,25.5198,90.2201,27.18,32,100,1.55,IN,1713792213
118,marsa alam,25.0757,34.8918,28.88,43,0,6.48,EG,1713792214
119,lautoka,-17.6167,177.4667,26.17,89,100,2.24,FJ,1713792215
120,punta arenas,-53.15,-70.9167,5.74,82,55,4.66,CL,1713792216
121,qina,26.1642,32.7267,37.82,4,0,3.64,EG,1713792216
122,vernon,50.2581,-119.2691,0.83,87,16,0.79,CA,1713792217
123,weno,7.4515,151.8468,28.65,81,15,7.99,FM,1713792218
124,vorgashor,67.5833,63.95,-10.31,89,98,4.99,RU,1713792219
